date,cases,hospitalizations,deaths
2020-11-07,4203,216,68
2020-11-08,2999,164,88
2020-11-09,8732,274,85
2020-11-10,7419,206,81
2020-11-11,6377,220,89
2020-11-12,5982,207,103
2020-11-13,5702,223,85
2020-11-14,3221,174,76
2020-11-15,2325,141,82
2020-11-16,6573,255,89
2020-11-17,5452,200,83
2020-11-18,4875,174,102
2020-11-19,4512,159,79
2020-11-20,4341,202,80
2020-11-21,2584,96,74
2020-11-22,1900,145,77
2020-11-23,5458,218,95
2020-11-24,4446,151,88
2020-11-25,4328,160,82
2020-11-26,3969,158,69
2020-11-27,4074,179,84
2020-11-28,2314,136,83
2020-11-29,1701,106,77
2020-11-30,5299,183,84
2020-12-01,4273,130,84
2020-12-02,4433,150,82
2020-12-03,4335,150,73
2020-12-04,4554,143,72
2020-12-05,2527,116,88
2020-12-06,1938,104,58
2020-12-07,5854,165,69
2020-12-08,4682,132,88
2020-12-09,5254,165,73
2020-12-10,4651,116,74
2020-12-11,4696,110,68
2020-12-12,2863,107,69
2020-12-13,2110,96,71
2020-12-14,5641,72,60
2020-12-15,3180,20,18
2020-12-16,7,1,1
